Accident_Index,Vehicle_Type
201506K004720,9
201506K004720,1
201506K004725,9
201506K004725,9
201506K004727,9
201506K004727,90
201506K004727,90
201506K004727,9
201506K004738,9
201506K004738,9
201506K004862,9
201506K004897,9
201506K004897,8
201506K004925,9
201506K004925,1
201506K004925,9
201506K004995,9
201506K005009,9
201506K005160,9
201506K005160,9
201506K005466,9
201506K005466,9
201506K005466,9
201506K005471,9
201506K005471,9
201506K005494,9
201506K005554,9
201506K005557,9
201506K005557,11
201506K005557,9
201506K005559,9
201506K005559,9
201506K005620,9
201506K005620,9
201506K005621,9
201506K005621,9
201506K005658,9
201506K005658,1
201506K005675,9
201506K005692,9
201506K005692,5
201506K005714,8
201506K005714,9
201506K005767,9
201506K005780,9
201506K005780,9
201506K005801,9
201506K005831,8
201506K005833,19
201506K005833,9
201506K005844,9
201506K005844,9
201506K005898,19
201506K005898,9
201506K005947,9
201506K005947,9
201506K005987,9
201506K005987,9
201506K006000,9
201506K006000,9
201506K006107,9
201506K006120,9
201506K006120,8
201506K006156,9
201506K006156,9
201506K006196,5
201506K006196,19
201506K006247,9
201506K006247,9
201506K006247,9
201506K006296,9
201506K006296,9
201506K006308,9
201506K006308,9
201506K006338,9
201506K006338,1
201506K006440,9
201506K006440,5
201506K006470,9
201506K006470,9
201506K006587,9
201506K006587,90
201506K006622,9
201506K006622,9
201506K006657,2
201506K006657,9
201506K006671,11
201506K006675,1
201506K006676,9
201506K006687,9
201506K006687,3
201506K006815,1
201506K006815,9
201506K006844,9
201506K006880,9
201506K006880,9
201506K006913,9
201506K006913,3
201506K006916,5
201506K006916,9
201506K006927,9
201506K006927,4
201506K006947,9
201506K006947,5
201506K007000,5
201506K007000,9
201506K007000,9
201506K007064,9
201506K007064,9
201506K007081,9
201506K007081,9
201506K007125,90
201506K007125,8
201506K007132,9
201506K007132,9
201506K007136,9
201506K007138,9
201506K007181,9
201506K007181,9
201506K007181,9
201506K007274,9
201506K007274,9
201506K007278,9
201506K007293,9
201506K007310,9
201506K007310,9
201506K007378,9
201506K007378,9
201506K007439,3
201506K007439,9
201506K007439,9
201506K007532,3
201506K007588,9
201506K007588,9
201506K007602,9
201506K007608,9
201506K007639,9
201506K007709,9
201506K007709,9
201506K007762,19
201506K007844,9
201506K007878,8
201506K007962,5
201506K007962,9
201506K007977,3
201506K007985,9
201506K008008,9
201506K008107,9
201506K008111,9
201506K008111,9
201506K008132,9
201506K008132,9
201506K008207,9
201506K008207,9
201506K008244,9
201506K008244,3
201506K008269,9
201506K008269,9
201506K008274,9
201506K008274,9
201506K008282,9
201506K008282,9
201506K008284,9
201506K008284,2
201506K008289,9
201506K008289,2
201506K008363,9
201506K008363,9
201506K008365,9
201506K008365,9
201506K008391,9
201506K008391,9
201506K008487,9
201506K008487,3
201506K008492,8
201506K008530,9
201506K008530,9
201506K008551,9
201506K008551,9
201506K008647,9
201506K008647,9
201506K008647,9
201506K008671,9
201506K008688,8
201506K008688,9
201506K008816,9
201506K008816,9
201506K009032,9
201506K009036,9
201506K009257,9
201506K009262,9
201506K009274,9
201506K009293,9
201506K009330,9
201506K009330,9
201506K009388,9
201506K009388,8
201506K009503,9
201506K009503,9
201506K009510,9
201506K009510,1
201506K009512,9
201506K009512,9
201506K009560,9
201506K009560,9
201506K009581,3
201506K009581,9
201506K009748,9
201506K009748,9
201506K009778,9
201506K009778,9
201506K009825,9
201506K009862,9
201506K009862,8
201506K009865,8
201506K009871,21
201506K009871,9
201506K009871,9
201506K009871,9
201506K009871,9
201506K009871,9
201506K009956,9
201506K009956,9
201506K009974,9
201506K009974,9
201506K009998,9
201506K009998,9
201506K010035,9
201506K010035,9
201506K010037,9
201506K010037,9
201506K010037,9
201506K010055,9
201506K010055,9
201506K010077,19
201506K010077,19
201506K010185,9
201506K010185,9
201506K010186,9
201506K010186,9
201506K010227,9
201506K010227,3
201506K010300,9
201506K010326,21
201506K010326,9
201506K010411,9
201506K010411,9
201506K010554,9
201506K010725,1
201506K010725,9
201506K011115,3
201506K011115,8
201506K011125,19
201506K011125,9
201506K011401,9
201506K095956,9
201506K095967,9
201506K095968,9
201506K095968,9
201506K095999,9
201506K095999,9
201506K096015,11
201506K096015,9
